,name,salary_from,salary_to,salary_currency,area_name,published_at
1283,Токарь универсал/Токарь ЧПУ/Фрезеровщик ЧПУ,114000.0,,RUR,Пермь,2022-12-12T11:15:41+0300
1284,Архитектор по информационной безопасности,,,,Москва,2022-12-12T10:23:17+0300
1285,Токарь-универсал,60000.0,90000.0,RUR,Малоярославец,2022-12-12T10:32:33+0300
1286,Наладчик КИПиА,60000.0,70000.0,RUR,Ивантеевка,2022-12-12T11:53:17+0300
1287,Delivery manager,,,,Москва,2022-12-12T09:31:25+0300
1288,Технический архитектор BI,,,,Москва,2022-12-12T07:54:50+0300
1289,Администратор информационных технологий,,,,Зеленоград,2022-12-12T09:10:04+0300
1290,Аналитик 1С (MiddIe),200000.0,200000.0,RUR,Ярославль,2022-12-12T09:31:16+0300
1291,Инженер-программист,,,,Рузаевка,2022-12-12T08:28:07+0300
1292,Токарь-карусельщик,55000.0,,RUR,Чернушка,2022-12-12T09:53:34+0300
1293,Системный аналитик DWH,,,,Москва,2022-12-12T10:06:16+0300
1294,Консультант 1С,35000.0,50000.0,RUR,Белгород,2022-12-12T10:02:47+0300
1295,Программист,,,,Санкт-Петербург,2022-12-12T10:07:37+0300
1296,Начальник сектора по строительству и ремонту,,,,Белово,2022-12-12T11:14:26+0300
1297,Data engineer на продукт Антиспам (Big Data),,,,Москва,2022-12-12T11:08:45+0300
1298,Токарь,,50000.0,RUR,Дзержинск (Нижегородская область),2022-12-12T09:17:29+0300
1299,Слесарь по ремонту транспорта,29000.0,29000.0,RUR,Липецк,2022-12-12T09:51:01+0300
1300,Оператор станков с ЧПУ,78000.0,,RUR,Саратов,2022-12-12T10:24:44+0300
1301,Senior/ Middle Unity Developer,,,,Москва,2022-12-12T11:03:46+0300
1302,Токарь-карусельщик,,,,Санкт-Петербург,2022-12-12T08:26:26+0300
1303,Токарь-карусельщик,,,,Санкт-Петербург,2022-12-12T08:26:26+0300
1304,Presale-менеджер,,,,Москва,2022-12-12T11:09:12+0300
1305,Бизнес-аналитик 1С,220000.0,250000.0,RUR,Москва,2022-12-12T09:52:54+0300
1306,Оператор намоточного станка (ученик на производство),38000.0,72000.0,RUR,Екатеринбург,2022-12-12T08:47:41+0300
1307,Разработчик 1С-Битрикс / PHP,100000.0,170000.0,RUR,Ижевск,2022-12-12T11:21:54+0300
1308,Токарь,55000.0,,RUR,Кунгур,2022-12-12T09:33:26+0300
1309,Токарь-карусельщик,55000.0,,RUR,Белебей,2022-12-12T09:53:34+0300
1310,Токарь-расточник,70000.0,100000.0,RUR,Череповец,2022-12-12T11:32:47+0300
1311,Специалист по тестированию на проникновение/Pentester,,,,Москва,2022-12-12T09:51:55+0300
1312,Программист,,,,Москва,2022-12-12T10:07:37+0300
1313,Фрезеровщик 5 разряда,104000.0,,RUR,Ноябрьск,2022-12-12T07:37:01+0300
1314,Строгальщик,55000.0,,RUR,Чернушка,2022-12-12T10:13:36+0300
1315,Системный администратор,45000.0,,RUR,Нижний Новгород,2022-12-12T11:21:14+0300
1316,Программист 1С,,,,Владимир,2022-12-12T10:47:58+0300
1317,Разработчик PL/SQL,,,,Москва,2022-12-12T11:05:38+0300
1318,Ведущий аналитик 1С,120000.0,,RUR,Люберцы,2022-12-12T10:28:04+0300
1319,Инженер-электроник,110000.0,130000.0,RUR,Клин,2022-12-12T10:16:06+0300
1320,Техник ОПС,35000.0,,RUR,Новосибирск,2022-12-12T07:09:01+0300
1321,Токарь,75000.0,,RUR,Химки,2022-12-12T09:12:07+0300
1322,Руководитель направления Value Engineering,,,,Москва,2022-12-12T10:55:29+0300
1323,Электромеханик по средствам автоматики и приборам технологического оборудования,40000.0,,RUR,Торжок,2022-12-12T08:10:42+0300
1324,Senior PHP-developer,,,,Минск,2022-12-12T11:54:53+0300
1325,Механик,40000.0,,RUR,Октябрьский (Республика Башкортостан),2022-12-12T06:46:07+0300
1326,Токарь-карусельщик,,75000.0,RUR,Пенза,2022-12-12T07:38:29+0300
1327,Фрезеровщик в инструментальный цех,40906.0,,RUR,Киров (Кировская область),2022-12-12T11:00:55+0300
1328,Системный администратор,,,,Москва,2022-12-12T10:25:49+0300
1329,Механик ткацкого цеха,40000.0,,RUR,Шуя,2022-12-12T08:36:59+0300
1330,Токарь - расточник,68000.0,,RUR,Екатеринбург,2022-12-12T10:55:31+0300
1331,Токарь,,,,Алматы,2022-12-12T06:13:49+0300
1332,Аналитик,,,,Вологда,2022-12-12T11:20:50+0300
1333,Ведущий web-разработчик (Team leader),,,,Москва,2022-12-12T09:13:56+0300
1334,Разработчик Naumen Service Desk,,,,Москва,2022-12-12T07:45:43+0300
1335,System Engineer Linux,,,,Москва,2022-12-12T10:21:29+0300
1336,Архитектор 1С (1С WMS),,,,Санкт-Петербург,2022-12-12T10:46:47+0300
1337,Станочник широкого профиля,30000.0,,RUR,Торжок,2022-12-12T08:10:12+0300
1338,Оператор станков с ЧПУ,78000.0,,RUR,Астрахань,2022-12-12T10:24:44+0300
1339,Резчик на пиле,73000.0,,RUR,Ржев,2022-12-12T11:09:22+0300
1340,Архитектор инфраструктуры информационной безопасности,,,,Москва,2022-12-12T10:30:56+0300
1341,Фрезеровщик,,,,Москва,2022-12-12T10:25:10+0300
1342,Сервисный инженер,50000.0,,RUR,Елабуга,2022-12-12T08:01:02+0300
1343,Системный администратор,,51000.0,RUR,Белгород,2022-12-12T10:58:43+0300
1344,Руководитель проекта в строительную компанию,60000.0,,RUR,Барнаул,2022-12-12T07:25:56+0300
1345,Программист 1С,150000.0,,RUR,Жуковский,2022-12-12T10:24:59+0300
1346,Менеджер по разработке и визуализации корпоративной отчетности,,,,Москва,2022-12-12T11:31:56+0300
1347,Главный механик по транспорту (строительные объекты),,,,Тверь,2022-12-12T10:26:47+0300
1348,Выездной сервисный инженер по POS-терминалам,,,,Канск,2022-12-12T11:53:44+0300
1349,Product Designer / Продуктовый дизайнер (Mobile),,,,Москва,2022-12-12T09:48:54+0300
1350,Разработчик 1С,,,,Омск,2022-12-12T09:02:01+0300
1351,Ведущий специалист по системам автоматизации,,,,Санкт-Петербург,2022-12-12T11:38:48+0300
1352,Токарь-карусельщик,55000.0,,RUR,Кунгур,2022-12-12T09:53:34+0300
1353,Мастер по ремонту ноутбуков,100000.0,350000.0,KZT,Усть-Каменогорск,2022-12-12T11:08:18+0300
1354,Программист 1С,,,,Краснодар,2022-12-12T09:09:58+0300
1355,Мастер по ремонту оборудования тепловых сетей,,,,Улан-Удэ,2022-12-12T10:21:32+0300
1356,Сервисный инженер,45000.0,,RUR,Новосибирск,2022-12-12T07:09:00+0300
1357,Бизнес-аналитик 1С,,,,Санкт-Петербург,2022-12-12T09:51:29+0300
1358,Оператор (Лазерный Станок ЧПУ),,80000.0,RUR,Москва,2022-12-12T10:00:56+0300
1359,Разработчик баз данных (PostgreSQL),,,,Москва,2022-12-12T09:39:29+0300
1360,Разработчик 1С,,,,Краснодар,2022-12-12T09:09:58+0300
1361,Менеджер по проектам реновации интернет-магазина,,,,Москва,2022-12-12T09:32:30+0300
1362,Старший программист .NET,,,,Нижний Новгород,2022-12-12T10:41:10+0300
1363,Токарь,30000.0,,RUR,Рязань,2022-12-12T09:42:01+0300
1364,Строгальщик,55000.0,,RUR,Казань,2022-12-12T10:13:36+0300
1365,Наладчик вакуумного технологического оборудования,45000.0,45000.0,RUR,Новосибирск,2022-12-12T10:46:39+0300
1366,Senior QA Engineer,,,,Тбилиси,2022-12-12T10:48:44+0300
1367,Программист 1С:ЗУП (ИТ-компания),,,,Иваново (Ивановская область),2022-12-12T09:10:38+0300
1368,Программист,800.0,1000.0,BYR,Минск,2022-12-12T09:56:28+0300
1369,Консультант 1С (ERP),,,,Москва,2022-12-12T09:38:09+0300
1370,Начальник отдела технической защиты информации,90000.0,,RUR,Москва,2022-12-12T10:26:47+0300
1371,Java Architect,,,,Санкт-Петербург,2022-12-12T10:51:30+0300
1372,Инженер presale,,,,Москва,2022-12-12T09:12:25+0300
1373,"Senior Java Backend, New Zealand",3500.0,7400.0,USD,Санкт-Петербург,2022-12-12T09:50:19+0300
1374,Инженер DevOps,150000.0,,RUR,Москва,2022-12-12T10:03:34+0300
1375,Токарь-расточник,55000.0,,RUR,Белорецк,2022-12-12T10:05:40+0300
1376,Резчик на пиле,73000.0,,RUR,Коломна,2022-12-12T11:09:22+0300
1377,Senior Java Developer,,,,Москва,2022-12-12T11:27:23+0300
1378,"Project Manager, руководитель проектов (1C WMS)",,,,Санкт-Петербург,2022-12-12T10:49:38+0300
1379,Linux-инженер в сектор коммуникационных систем,,,,Москва,2022-12-12T11:48:28+0300
1380,Ведущий аналитик/консультант 1С,,,,Санкт-Петербург,2022-12-12T09:42:36+0300
1381,Менеджер тестовых сред,,,,Москва,2022-12-12T11:08:32+0300
1382,Разработчик (Jira),,,,Москва,2022-12-12T10:38:47+0300
1383,Техник ТСО (технических средств охраны),38000.0,,RUR,Ухта,2022-12-12T09:15:02+0300
1384,Программист 1С (IT аккредитация),,150000.0,RUR,Кемерово,2022-12-12T06:14:27+0300
1385,Руководитель проектного офиса 1С,,,,Москва,2022-12-12T09:36:33+0300
1386,Системный аналитик (проект i.moscow),,,,Москва,2022-12-12T10:26:58+0300
1387,Аналитик DWH (инвестиционный банк),,,,Екатеринбург,2022-12-12T08:56:47+0300
1388,Заместитель технического директора,,171500.0,RUR,Москва,2022-12-12T09:38:16+0300
1389,Middle Python developer,200000.0,250000.0,RUR,Москва,2022-12-12T09:45:25+0300
1390,Начальник отдела моделирования бизнес процессов,,,,Алматы,2022-12-12T09:30:25+0300
1391,Специалист по безопасности CI/CD конвейера (DevSecOps),,,,Санкт-Петербург,2022-12-12T10:22:54+0300
1392,Руководитель проектов,50000.0,65000.0,RUR,Красноярск,2022-12-12T10:15:55+0300
1393,Строгальщик,55000.0,,RUR,Белебей,2022-12-12T10:13:36+0300
1394,Руководитель центра практики DevOps,,,,Москва,2022-12-12T08:45:26+0300
1395,Менеджер по продажам рекламных услуг,50000.0,,RUR,Фрязино,2022-12-12T11:19:44+0300
1396,Токарь-расточник,55000.0,,RUR,Чайковский,2022-12-12T10:05:40+0300
1397,Оператор станка с ЧПУ,,,,Новоуральск,2022-12-12T10:13:26+0300
1398,Строгальщик,55000.0,,RUR,Салават,2022-12-12T10:13:36+0300
1399,Установщик оборудования,40000.0,,RUR,Волоколамск,2022-12-12T09:38:40+0300
1400,Главный инженер эксплуатации систем мониторинга,,,,Нижний Новгород,2022-12-12T10:28:42+0300
1401,Специалист по прогнозированию спроса,,,,Москва,2022-12-12T11:31:10+0300
1402,Фрезеровщик,50000.0,50000.0,RUR,Новотроицк (Оренбургская область),2022-12-12T06:55:30+0300
1403,Старший программист .NET,,,,Курск,2022-12-12T10:42:06+0300
1404,Системный аналитик,,,,Казань,2022-12-12T09:50:08+0300
1405,CMF дизайнер (спортивный инвентарь),,,,Москва,2022-12-12T09:55:14+0300
1406,Руководитель проектов,350000.0,500000.0,KZT,Алматы,2022-12-12T06:11:58+0300
1407,"Сервисный инженер/инженер по запуску оборудования (термическое, вакуумное)",,,,Москва,2022-12-12T11:12:43+0300
1408,Токарь-карусельщик/Токарь-универсал,,,,Рыбинск,2022-12-12T08:40:33+0300
1409,Руководитель обособленного подразделения (промышленное строительство) г. Норильск,,,,Самара,2022-12-12T09:16:28+0300
1410,Токарь,55000.0,,RUR,Чайковский,2022-12-12T09:33:26+0300
1411,Токарь-расточник,55000.0,,RUR,Белебей,2022-12-12T10:05:40+0300
1412,Монтажник слаботочных систем,180000.0,240000.0,KZT,Темиртау,2022-12-12T11:23:57+0300
1413,Linux system engineer / Virtualization engineer,,,,Москва,2022-12-12T11:48:28+0300
1414,Техник-механик,72000.0,,RUR,Благовещенск (Амурская область),2022-12-12T08:59:41+0300
1415,Инженер-разработчик,,,,Москва,2022-12-12T10:28:05+0300
1416,Программист 1С,100000.0,100000.0,RUR,Владимир,2022-12-12T10:55:27+0300
1417,Руководитель проектов по внедрению инструментов ОТ и ПБ,,,,Москва,2022-12-12T07:59:45+0300
1418,Инженер технической поддержки (п. Витим),,,,Витим,2022-12-12T10:36:43+0300
1419,Мастер-механик,,,,Павлодар,2022-12-12T06:47:50+0300
1420,Токарь,55000.0,,RUR,Казань,2022-12-12T09:33:26+0300
1421,Технический руководитель проектов 1С,25000000.0,33000000.0,UZS,Ташкент,2022-12-12T10:23:05+0300
1422,Инженер-программист,,,,Старый Оскол,2022-12-12T10:26:48+0300
1423,Администратор Linux,,,,Нижний Новгород,2022-12-12T10:28:53+0300
1424,Ведущий инженер отдела тылового обеспечения тыла,,40000.0,RUR,Королев,2022-12-12T11:05:35+0300
1425,Токарь,55000.0,,RUR,Бугульма,2022-12-12T09:33:26+0300
1426,Мастер слесарного цеха,45000.0,70000.0,RUR,Владимир,2022-12-12T09:49:59+0300
1427,Программист 1С,,,,Москва,2022-12-12T11:52:32+0300
1428,Монтажник кабельных сетей,40000.0,,RUR,Магадан,2022-12-12T06:13:57+0300
1429,1С разработчик,,,,Екатеринбург,2022-12-12T08:19:55+0300
1430,Начальник рейдового района,50000.0,50000.0,RUR,Тобольск,2022-12-12T08:43:56+0300
1431,Программист-разработчик PHP (middle/senior backend developer),4500000.0,12000000.0,UZS,Фергана,2022-12-12T11:24:46+0300
1432,Ведущий аналитик блока сопровождения дистанционных продаж и сервисов (контакт-центр),,,,Екатеринбург,2022-12-12T08:59:38+0300
1433,Flutter разработчик,150000.0,200000.0,RUR,Ярославль,2022-12-12T09:50:54+0300
1434,Программист С (СУБД),,,,Москва,2022-12-12T11:48:22+0300
1435,Технический директор ПГС (строительство муниципальных объектов),150000.0,,RUR,Иркутск,2022-12-12T09:45:56+0300
1436,Владелец цифрового канала - сайт Банка,,,,Санкт-Петербург,2022-12-12T10:10:37+0300
1437,Сервисный инженер,50000.0,70000.0,RUR,Екатеринбург,2022-12-12T07:08:40+0300
1438,Ведущий инженер/IT-специалист (системный администратор),45000.0,55000.0,RUR,Иркутск,2022-12-12T07:14:30+0300
1439,Специалист технической поддержки в ELMA4,,,,Киров (Кировская область),2022-12-12T09:19:13+0300
1440,Ведущий бизнес / системный аналитик SAP ERP FI,,,,Каменск-Уральский,2022-12-12T07:45:42+0300
1441,Токарь-расточник,40000.0,,RUR,Волгодонск,2022-12-12T10:23:35+0300
1442,Главный специалист по управлению уязвимостями,,,,Санкт-Петербург,2022-12-12T08:01:01+0300
1443,Механик,36000.0,36000.0,RUR,Новосибирск,2022-12-12T07:45:57+0300
1444,Системный программист С (Linux),,,,Москва,2022-12-12T11:46:50+0300
1445,"Разработчик 1С, Согаз-Жизнь",,,,Москва,2022-12-12T11:06:08+0300
1446,Начальник отдела разработки ПО,,,,Москва,2022-12-12T10:10:29+0300
1447,Опиловщик фасонных отливок,19000.0,21000.0,RUR,Саранск,2022-12-12T10:14:41+0300
1448,Специалист поддержки системы MES,,,,Казань,2022-12-12T07:45:36+0300
1449,Менеджер по продукту (подсолнечник),,,,Волгоград,2022-12-12T11:09:59+0300
1450,Старший инженер-программист,100000.0,,RUR,Белгород,2022-12-12T11:26:28+0300
1451,Техник по инструменту,67000.0,,RUR,Санкт-Петербург,2022-12-12T08:43:20+0300
1452,Заточник абразивными кругами сухим способом,40906.0,,RUR,Киров (Кировская область),2022-12-12T11:01:00+0300
1453,DevOps инженер,300000.0,,RUR,Москва,2022-12-12T09:38:40+0300
1454,Mid+/ Sr Backend Developer (PHP),,,,Москва,2022-12-12T11:07:34+0300
1455,Токарь-универсал 5-6 разряда,70000.0,140000.0,RUR,Самара,2022-12-12T09:12:49+0300
1456,Строгальщик,55000.0,,RUR,Нефтекамск,2022-12-12T10:13:36+0300
1457,Оператор-наладчик станков с программным управлением,,60000.0,RUR,Пермь,2022-12-12T07:35:47+0300
1458,Токарь-карусельщик,55000.0,,RUR,Чайковский,2022-12-12T09:53:34+0300
1459,Инженер-механик,60000.0,,RUR,Юрга,2022-12-12T11:36:14+0300
1460,Токарь-универсал 6 разряд,62200.0,,RUR,Москва,2022-12-12T11:59:53+0300
1461,Старший инженер внедрения систем мониторинга информационной безопасности (SIEM),,,,Москва,2022-12-12T10:30:55+0300
1462,Аналитик департамента управления цепями поставок и клиентского сервиса,,,,Москва,2022-12-12T10:36:58+0300
1463,Специалист технической поддержки (в торговом зале),21700.0,43400.0,RUR,Барнаул,2022-12-12T06:10:21+0300
1464,Технический писатель (специалист),,,,Москва,2022-12-12T11:44:16+0300
1465,Механик,,54600.0,RUR,Рамонь,2022-12-12T11:26:10+0300
1466,Фрезеровщик 4-5 разряд,,,,Волгоград,2022-12-12T09:54:04+0300
1467,Ведущий специалист отдела администрирования Unix-систем,,,,Владивосток,2022-12-12T10:48:09+0300
1468,Инженер по автоматизации тестирования (Webscanner - BlackBox),,,,Самара,2022-12-12T11:25:15+0300
1469,Строгальщик,55000.0,,RUR,Ишимбай,2022-12-12T10:13:36+0300
1470,IT BP AXAPTA финансы,,,,Москва,2022-12-12T08:46:09+0300
1471,Эксперт по сопровождению Diasoft Fa#,,,,Москва,2022-12-12T10:09:07+0300
1472,Ведущий инженер слаботочных систем,60000.0,,RUR,Набережные Челны,2022-12-12T08:29:27+0300
1473,Наладчик зубошлифовальных станков,70000.0,125000.0,RUR,Красногорск,2022-12-12T09:18:41+0300
1474,Токарь-расточник,55000.0,,RUR,Казань,2022-12-12T10:05:40+0300
1475,Разработчик 1С-Битрикс / Web-программист,150000.0,,RUR,Люберцы,2022-12-12T10:31:10+0300
1476,Ведущий разработчик баз данных PostgreSQL (Senior),,,,Москва,2022-12-12T11:27:15+0300
1477,Механик,300000.0,350000.0,KZT,Кокшетау,2022-12-12T09:11:55+0300
1478,Программист,120000.0,,RUR,Москва,2022-12-12T09:40:14+0300
1479,Регулировщик РЭА и приборов,28000.0,,RUR,Саратов,2022-12-12T08:08:09+0300
1480,Разработчик баз данных PostgreSQL (Middle),,,,Ростов-на-Дону,2022-12-12T11:27:11+0300
1481,Инженер СХД,,,,Хабаровск,2022-12-12T11:24:10+0300
1482,Программист 1С:ЗУП (ИТ-компания),,,,Ярославль,2022-12-12T09:05:26+0300
1483,Токарь,50000.0,,RUR,Тула,2022-12-12T11:53:10+0300
1484,Технический писатель,,,,Москва,2022-12-12T11:22:18+0300
1485,Специалист\Системный администратор сопровождения платежных систем,,,,Москва,2022-12-12T09:52:21+0300
1486,Программист 1С,,,,Омск,2022-12-12T09:01:18+0300
1487,Аналитик IRP/SOAR (SOC),,,,Екатеринбург,2022-12-12T09:15:51+0300
1488,PHP-программист/ РНР разработчик,,,,Подольск (Московская область),2022-12-12T10:54:54+0300
1489,Системный аналитик [МТС Франшиза],,,,Москва,2022-12-12T11:39:45+0300
1490,Инженер-программист (Отдел по планшетным компьютерам),120000.0,120000.0,RUR,Москва,2022-12-12T09:56:03+0300
1491,Архитектор 1С ERP,,,,Москва,2022-12-12T11:23:27+0300
1492,Инженер-электроник,110000.0,130000.0,RUR,Химки,2022-12-12T10:16:06+0300
1493,Инженер-механик по вентиляции,70000.0,85000.0,RUR,Москва,2022-12-12T07:43:10+0300
1494,Преподаватель курсов программирования,,,,Ростов-на-Дону,2022-12-12T11:58:17+0300
1495,Администратор баз данных,180000.0,,RUR,Москва,2022-12-12T10:22:25+0300
1496,Бизнес-аналитик 1С (УТ11),230000.0,250000.0,RUR,Мытищи,2022-12-12T09:53:05+0300
1497,Механик,80000.0,80000.0,RUR,Мыски,2022-12-12T07:16:24+0300
1498,"Инженер-проектировщик (импортозамещение, электронная почта)",,,,Москва,2022-12-12T11:18:10+0300
1499,Middle PHP-developer,,,,Минск,2022-12-12T11:54:44+0300
1500,Инженер-программист (ОАИД),,,,Чебоксары,2022-12-12T09:26:03+0300
1501,Заместитель начальника ремонтно-производственной базы,45000.0,,RUR,Киров (Кировская область),2022-12-12T08:31:59+0300
1502,Ведущий консультант по информационной безопасности,150000.0,,RUR,Москва,2022-12-12T11:12:00+0300
1503,Аналитик 1С,80000.0,,RUR,Краснодар,2022-12-12T09:38:41+0300
1504,Ведущий специалист по информационной безопасности,,,,Москва,2022-12-12T11:50:09+0300
1505,Фрезеровщик,33000.0,,RUR,Ишимбай,2022-12-12T06:47:11+0300
1506,Программист 1C,,,,Екатеринбург,2022-12-12T10:38:28+0300
1507,"Зуборезчик (Фрезеровщик, Станочник широкого профиля)",,,,Лебедянь,2022-12-12T09:32:58+0300
1508,Токарь,43000.0,57000.0,RUR,Новотроицк (Оренбургская область),2022-12-12T07:04:16+0300
1509,Техник по эксплуатации вентиляционного оборудования,,70000.0,RUR,Санкт-Петербург,2022-12-12T09:26:48+0300
1510,Фрезеровщик 4-5 разряд,,,,Таганрог,2022-12-12T09:54:04+0300
1511,Токарь-универсал,90000.0,,RUR,Москва,2022-12-12T10:03:14+0300
1512,Бизнес-аналитик,,,,Казань,2022-12-12T10:20:26+0300
1513,Инженер-программист 1С,,,,Краснодар,2022-12-12T10:37:20+0300
1514,Системный администратор,,,,Ростов-на-Дону,2022-12-12T09:48:54+0300
1515,Bitrix разработчик,140000.0,,RUR,Москва,2022-12-12T09:12:38+0300
1516,"Ассистент дизайнера (одежда для активных видов спорта, аутдорный бренд)",,,,Москва,2022-12-12T09:55:18+0300
1517,Главный специалист по поддержке производственных систем,,,,Тюмень,2022-12-12T08:31:09+0300
1518,Релиз-менеджер \ Программист 1С \ Тестировщик 1С,,,,Москва,2022-12-12T10:26:21+0300
1519,Старший программист C/C++,,,,Москва,2022-12-12T10:25:31+0300
1520,Главный специалист отдела сетевого администрирования,30000.0,45000.0,RUR,Архангельск,2022-12-12T08:08:34+0300
1521,Оператор установки лазерной резки,60000.0,65000.0,RUR,Москва,2022-12-12T09:22:44+0300
1522,Бизнес-аналитик,,,,Кострома,2022-12-12T11:07:42+0300
1523,Контролёр по выпуску автотранспорта на линию,45000.0,,RUR,Асбест,2022-12-12T11:05:11+0300
1524,Ведущий сервисный инженер (испытательное оборудование),,,,Москва,2022-12-12T11:12:19+0300
1525,Системный аналитик (системы самообслуживания),,,,Санкт-Петербург,2022-12-12T10:02:28+0300
1526,Токарь (4-6 разряд на 16К20),,,,Саратов,2022-12-12T09:52:31+0300
1527,Fullstack-разработчик C#/JavaScript,,,,Пермь,2022-12-12T10:59:26+0300
1528,Технический менеджер продукта/Technical Product manager (AstraLinuxDesktop),,,,Москва,2022-12-12T11:48:22+0300
1529,Инженер по горному оборудованию,350000.0,400000.0,KZT,Кокшетау,2022-12-12T09:15:00+0300
1530,Специалист по мониторингу транспорта,,80000.0,RUR,Москва,2022-12-12T10:51:11+0300
1531,Инженер по гарантии,60000.0,,RUR,Екатеринбург,2022-12-12T11:30:13+0300
1532,Ведущий специалист отдела администрирования Unix-систем,,,,Хабаровск,2022-12-12T10:48:09+0300
1533,"Руководитель строительного подразделения, г. Норильск",,,,Санкт-Петербург,2022-12-12T09:20:43+0300
1534,Токарь-универсал,85000.0,,RUR,Санкт-Петербург,2022-12-12T11:23:25+0300
1535,Linux-инженер в сектор служб каталогов,,,,Москва,2022-12-12T11:48:27+0300
1536,Системный аналитик 1С,110000.0,140000.0,RUR,Краснодар,2022-12-12T10:06:17+0300
1537,Программист-внедренец 1С,10000000.0,30000000.0,UZS,Ташкент,2022-12-12T08:31:25+0300
1538,Аналитик DWH,,,,Москва,2022-12-12T09:34:26+0300
1539,Проектный программист 1С (Удаленно),,,,Москва,2022-12-12T09:16:14+0300
1540,Аналитик DWH (инвестиционный банк),,,,Москва,2022-12-12T08:56:47+0300
1541,Фрезеровщик,,80000.0,RUR,Санкт-Петербург,2022-12-12T11:23:32+0300
1542,Механик,36000.0,36000.0,RUR,Бердск,2022-12-12T07:46:26+0300
1543,Системный администратор,,,,Тверь,2022-12-12T10:32:16+0300
1544,Менеджер по сервисной поддержке,,,,Санкт-Петербург,2022-12-12T10:47:52+0300
1545,Эксперт по мониторингу и управлению инцидентами ИБ,200000.0,,RUR,Москва,2022-12-12T09:54:01+0300
1546,Руководитель направления сопровождения информационной инфраструктуры,53000.0,,RUR,Рязань,2022-12-12T10:11:42+0300
1547,Строгальщик,55000.0,,RUR,Кирово-Чепецк,2022-12-12T10:13:36+0300
1548,Аккумуляторщик погрузочной техники,49500.0,,RUR,Домодедово,2022-12-12T10:26:12+0300
1549,Специалист по планированию ремонтов электрооборудования,,,,Муром,2022-12-12T09:27:25+0300
1550,Сервисный инженер,65000.0,,RUR,Новокузнецк,2022-12-12T08:07:17+0300
1551,Ведущий разработчик баз данных PostgreSQL (Senior),,,,Ростов-на-Дону,2022-12-12T11:27:05+0300
1552,Ведущий специалист 1С,100000.0,,RUR,Новокузнецк,2022-12-12T07:35:03+0300
1553,Инженер (сопровождение OpenShift/Kubernetes),,,,Хабаровск,2022-12-12T10:21:10+0300
1554,Инженер отдела поддержки проектов (DevOps инженер),,,,Армения,2022-12-12T07:21:06+0300
1555,Начальник транспортного отдела,40000.0,55000.0,RUR,Владивосток,2022-12-12T08:01:33+0300
1556,Специалист технической поддержки (диспетчер),30000.0,,RUR,Тула,2022-12-12T09:46:59+0300
1557,Главный специалист по информационной безопасности,,,,Москва,2022-12-12T09:24:02+0300
1558,Оператор станков с ЧПУ,,,,Рыбинск,2022-12-12T08:40:38+0300
1559,Заведующий гаражом,200000.0,230000.0,KZT,Алматы,2022-12-12T08:29:11+0300
1560,Fullstack-разработчик C#/JavaScript,,,,Уфа,2022-12-12T10:59:26+0300
1561,"Бизнес-аналитик (продукт Каталог и контент, Поиск)",,,,Москва,2022-12-12T09:32:31+0300
1562,Мастер-универсал,,85000.0,RUR,Нижневартовск,2022-12-12T09:01:03+0300
1563,Аналитик 1с ERP,,,,Санкт-Петербург,2022-12-12T09:17:28+0300
1564,Механик по выпуску автотранспорта,60000.0,70000.0,RUR,Красноуфимск,2022-12-12T08:43:26+0300
1565,Инженер сопровождения платформы Visiology,100000.0,,RUR,Белгород,2022-12-12T10:08:03+0300
1566,Системный аналитик (направление Страхование),,,,Москва,2022-12-12T11:36:48+0300
1567,"Консультант/Аналитик 1С (финансы, регламентированный учет)",180000.0,,RUR,Москва,2022-12-12T09:53:43+0300
1568,Разработчик 1С,,,,Москва,2022-12-12T11:46:35+0300
1569,Менеджер по продукту ДРБ,,,,Якутск,2022-12-12T09:32:21+0300
1570,Devops инженер,,,,Москва,2022-12-12T10:56:33+0300
1571,Программист 1С,45000.0,,RUR,Чебоксары,2022-12-12T11:09:11+0300
1572,Ведущий программист 1C,200000.0,,RUR,Москва,2022-12-12T09:40:39+0300
1573,Наладчик - монтажник испытательного оборудования,45000.0,55000.0,RUR,Новосибирск,2022-12-12T10:34:32+0300
1574,Middle QA,,,,Самара,2022-12-12T09:46:02+0300
1575,Разработчик 1С (Биллинг),,,,Москва,2022-12-12T11:05:19+0300
1576,Разработчик PostgreSQL,,,,Санкт-Петербург,2022-12-12T10:39:17+0300
1577,Строгальщик,55000.0,,RUR,Чайковский,2022-12-12T10:13:36+0300
1578,Программист 1С (поддержка),,,,Красноярск,2022-12-12T11:16:37+0300
1579,Инженер по технической защите информации (специальные исследования),,,,Самара,2022-12-12T09:46:02+0300
1580,Инженер по ремонту и эксплуатации сельскохозяйственной техники,60000.0,,RUR,Шацк (Рязанская область),2022-12-12T08:47:45+0300
1581,Токарь-расточник,40000.0,,RUR,Октябрьский (Республика Башкортостан),2022-12-12T06:47:03+0300
1582,Мастер по обслуживанию абонентов (Ярославль),35000.0,,RUR,Ярославль,2022-12-12T06:43:57+0300
1583,Ведущий сетевой инженер,,,,Санкт-Петербург,2022-12-12T09:37:59+0300
1584,Инженер по формированию аттестационно - разрешительной документации,,,,Красноярск,2022-12-12T07:52:07+0300
1585,Программист 1С,150000.0,,RUR,Люберцы,2022-12-12T10:24:59+0300
